host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,price,Host_response_time,Host_reponse_rate,Host_acceptance_rate,Host_is_superhost,Host_identity_verified,Instant_bookable
within an hour,100%,100%,t,West Fens,t,42.34294912,-71.1007359,Other,Entire home/apt,5,1.0,1.0,0.0,1,365,30,6,4.8,4.83,4.83,4.73,4.87,4.97,4.7,Exempt: This listing is a unit used for furnished institutional or business stays,t,$170.00,Fast,1.0,1.0,True,True,True
within an hour,100%,98%,f,Theater District,f,42.38771,-71.00528,Other,Entire home/apt,6,2.0,2.0,4.0,1,365,30,6,4.93,4.93,4.9,4.79,4.93,4.76,4.83,Exempt: This listing is a unit that has contracts with hospitals,f,$273.00,Fast,1.0,0.98,False,False,False
within an hour,93%,74%,f,Fenway–Kenmore,t,42.34527,-71.0832,Other,Entire home/apt,6,2.0,3.0,3.0,4,365,11,3,4.64,4.55,4.36,4.82,4.82,5.0,4.55,Str-003672,f,$628.00,Fast,0.93,0.74,False,True,False
within an hour,93%,74%,f,Fenway–Kenmore,t,42.34721776,-71.10205728,Other,Entire home/apt,6,2.0,2.0,0.0,5,365,11,1,4.82,4.82,4.91,4.91,4.91,5.0,4.64,STR-574624,t,$498.00,Fast,0.93,0.74,False,True,True
within an hour,100%,98%,f,Theater District,f,42.37404,-71.03705,Other,Entire home/apt,7,1.0,3.0,1.0,1,365,17,5,4.82,4.86,4.86,5.0,4.93,4.57,4.71,STR-523178,f,$35.00,Fast,1.0,0.98,False,False,False
within an hour,100%,99%,t,Spring Hill,t,42.36142206,-71.06718317,Other,Entire home/apt,4,1.0,2.0,2.0,1,365,25,4,4.92,4.88,4.83,5.0,4.88,4.96,4.71,STR-445052,t,$261.00,Fast,1.0,0.99,True,True,True
within an hour,84%,100%,f,Roxbury,t,42.32831689,-71.09606372,Other,Entire home/apt,4,1.0,1.0,0.0,1,365,24,2,4.71,4.67,4.79,4.71,4.38,4.88,4.54,STR-461707,t,$171.00,Fast,0.84,1.0,False,True,True
within an hour,100%,96%,f,South End,t,42.34603623,-71.06511509,Other,Entire home/apt,5,2.0,2.0,2.0,1,365,15,1,4.73,4.93,4.67,4.53,4.8,5.0,4.73,STR-719637,t,$421.00,Fast,1.0,0.96,False,True,True
within an hour,100%,98%,f,Theater District,f,42.35145,-71.06529,Other,Entire home/apt,5,1.0,2.0,2.0,1,365,27,5,4.33,4.27,4.27,4.92,4.69,4.88,4.35,Exempt: This listing is a unit that has contracts with hospitals,f,$254.00,Fast,1.0,0.98,False,False,False
within an hour,100%,99%,t,Spring Hill,t,42.36194,-71.06897,Other,Entire home/apt,3,1.0,1.0,2.0,1,365,11,1,4.45,4.5,4.4,4.7,4.9,4.5,4.6,STR-445054,f,$191.00,Fast,1.0,0.99,True,True,False
within a few hours,100%,75%,f,West Roxbury,t,42.27840069,-71.17125315,Other,Private room,1,3.0,1.0,0.0,5,365,2,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,STR-548111,f,$72.00,Fast,1.0,0.75,False,True,False
within an hour,100%,67%,f,Charlestown,t,42.3777036,-71.06133808,Other,Entire home/apt,2,1.0,1.0,0.0,1,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,STR-554674,f,$365.00,Fast,1.0,0.67,False,True,False
within an hour,93%,74%,f,Fenway–Kenmore,t,42.34453,-71.10552,Other,Entire home/apt,5,1.0,2.0,1.0,29,365,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,STR-466119,f,$35.00,Fast,0.93,0.74,False,True,False
within an hour,100%,98%,f,Theater District,f,42.38633,-71.00582,Other,Entire home/apt,6,2.0,2.0,3.0,1,365,27,4,4.67,4.85,4.65,4.62,4.77,4.69,4.73,Exempt: This listing is a unit that has contracts with hospitals,f,$242.00,Fast,1.0,0.98,False,False,False
within an hour,100%,98%,f,Theater District,f,42.37586,-71.03737,Other,Entire home/apt,7,1.0,3.0,1.0,1,365,5,0,4.8,4.8,4.8,4.8,4.8,4.6,4.8,STR-523178,f,$35.00,Fast,1.0,0.98,False,False,False
within an hour,100%,98%,f,Theater District,f,42.38765608,-71.00718418,Other,Entire home/apt,8,2.0,3.0,6.0,1,365,20,0,4.75,4.8,4.8,5.0,4.8,4.95,4.75,Exempt: This listing is a unit that has contracts with hospitals,f,$282.00,Fast,1.0,0.98,False,False,False
within an hour,93%,74%,f,Fenway–Kenmore,t,42.34108,-71.10539,Other,Entire home/apt,5,2.0,2.0,3.0,29,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,STR-466119,f,$499.00,Fast,0.93,0.74,False,True,False
within an hour,100%,98%,f,Codman Square,t,42.2924692,-71.0762519,Other,Private room,2,1.0,1.0,1.0,1,1125,9,1,4.89,5.0,4.67,4.89,5.0,4.56,4.67,STR-544890,f,$70.00,Fast,1.0,0.98,False,True,False
within a few hours,98%,69%,t,North End,t,42.35055887,-71.04369047,Apartment,Entire home/apt,3,1.0,1.0,1.0,29,365,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,$220.00,Fast,0.98,0.69,True,True,False
within an hour,100%,100%,t,Back Bay,f,42.36752733,-71.0529391,Other,Entire home/apt,2,1.0,1.0,1.0,10,365,8,2,5.0,5.0,5.0,5.0,5.0,5.0,4.5,STR-544872,t,$300.00,Fast,1.0,1.0,True,False,True
within an hour,100%,100%,t,Back Bay,f,42.35862,-71.0707,Other,Entire home/apt,3,1.0,1.0,1.0,10,365,6,1,5.0,5.0,4.67,5.0,5.0,5.0,5.0,STR-544867,t,$329.00,Fast,1.0,1.0,True,False,True
within an hour,100%,100%,f,North End,f,42.3662,-71.0546,Other,Entire home/apt,3,1.0,1.0,1.0,10,365,14,3,4.93,4.85,4.92,5.0,5.0,5.0,5.0,STR-544871,t,$311.00,Fast,1.0,1.0,False,False,True
within an hour,100%,100%,t,Back Bay,f,42.36027424,-71.07005902,Other,Entire home/apt,5,1.5,2.0,2.0,10,365,16,1,5.0,5.0,4.94,5.0,5.0,5.0,4.63,STR-544865,t,$750.00,Fast,1.0,1.0,True,False,True
within an hour,98%,100%,f,East Boston,t,42.37528441,-71.03209233,Other,Entire home/apt,6,1.0,2.0,2.0,1,365,30,2,4.03,3.97,3.97,4.4,4.03,4.03,4.0,STR-546064,t,$239.00,Fast,0.98,1.0,False,True,True
within an hour,100%,98%,f,Theater District,f,42.35169,-71.06528,Other,Entire home/apt,6,2.0,2.0,2.0,1,365,24,6,4.46,4.76,4.62,4.76,4.9,4.95,4.62,Exempt: This listing is a unit that has contracts with hospitals,f,$309.00,Fast,1.0,0.98,False,False,False
within an hour,100%,67%,f,Prudential / St. Botolph,f,42.34493291,-71.07987972,Other,Private room,1,1.0,1.0,1.0,1,365,2,0,5.0,4.5,4.0,5.0,5.0,5.0,4.5,STR-398748,f,$35.00,Fast,1.0,0.67,False,False,False
within a few hours,75%,100%,f,Dorchester,t,42.28954,-71.04905,Other,Entire home/apt,3,2.0,2.0,0.0,91,365,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,,f,$148.00,Fast,0.75,1.0,False,True,False
within an hour,99%,100%,f,Mission Hill,t,42.33406,-71.10538,Other,Entire home/apt,2,1.0,0.0,1.0,2,60,10,2,4.8,5.0,4.8,5.0,5.0,4.9,4.7,STR-545178,f,$148.00,Fast,0.99,1.0,False,True,False
within an hour,99%,100%,f,Mission Hill,t,42.33418,-71.10523,Other,Entire home/apt,1,1.0,0.0,1.0,2,60,11,2,4.73,4.82,4.73,5.0,4.91,4.82,4.18,STR-545178,f,$118.00,Fast,0.99,1.0,False,True,False
within an hour,99%,100%,f,Mission Hill,t,42.33255468,-71.10698956,Other,Entire home/apt,2,1.0,0.0,1.0,2,60,13,2,4.62,4.46,4.77,4.69,4.46,4.62,4.46,STR-545178,t,$146.00,Fast,0.99,1.0,False,True,True
within an hour,100%,100%,t,Hyde Park,t,42.27075036,-71.10802813,Other,Entire home/apt,4,1.0,2.0,0.0,2,365,12,4,4.58,4.5,4.75,4.58,4.75,4.25,4.5,STR-513973,t,$154.00,Fast,1.0,1.0,True,True,True
within an hour,100%,99%,t,Dorchester,t,42.31148061,-71.06386005,Other,Private room,2,1.0,1.0,0.0,1,365,5,5,5.0,5.0,5.0,4.8,5.0,4.2,4.8,STR-541489,t,$79.00,Fast,1.0,0.99,True,True,True
within an hour,100%,100%,f,Dorchester,t,42.3187739,-71.0601999,Other,Entire home/apt,2,1.0,1.0,2.0,20,30,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,,f,$130.00,Fast,1.0,1.0,False,True,False
within an hour,93%,74%,f,Fenway–Kenmore,t,42.34438054,-71.06328674,Other,Entire home/apt,6,2.0,2.0,0.0,29,365,9,4,4.67,5.0,4.88,5.0,4.75,5.0,4.75,STR-635467,t,$699.00,Fast,0.93,0.74,False,True,True
within an hour,100%,100%,t,South Medford,t,42.28938,-71.04194,House,Entire home/apt,10,3.5,5.0,6.0,1,365,20,3,4.95,4.95,4.95,4.95,5.0,5.0,4.8,STR-545955,f,$946.00,Fast,1.0,1.0,True,True,False
within an hour,100%,99%,t,Dorchester,t,42.31155,-71.06296,Other,Private room,2,1.0,1.0,1.0,1,365,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,STR-541489,t,$136.00,Fast,1.0,0.99,True,True,True
within an hour,100%,100%,t,Theater District,t,42.34384482,-71.10199272,Other,Entire home/apt,5,1.0,1.0,2.0,29,365,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,Exempt: This listing is a unit used for furnished institutional or business stays,t,$335.00,Fast,1.0,1.0,True,True,True
