host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,price,Host_response_time,Host_reponse_rate,Host_acceptance_rate,Host_is_superhost,Host_identity_verified,Instant_bookable
within an hour,100%,100%,t,Dorchester,t,42.36203,-71.14292,Other,Private room,1,1.0,1.0,1.0,29,1125,1,0,4.96,4.98,5.0,4.99,5.0,4.89,4.93,STR-410791,t,$85.00,Fast,1.0,1.0,True,True,True
within an hour,100%,97%,t,East Boston,t,42.38237,-71.02006,Other,Private room,2,1.0,1.0,1.0,1,4,125,6,4.89,4.93,4.94,4.92,4.89,4.81,4.81,STR-439433,f,$91.00,Fast,1.0,0.97,True,True,False
within an hour,100%,100%,f,Allston-Brighton,t,42.34897,-71.13536,Other,Private room,2,1.0,1.0,1.0,29,1125,0,0,4.5,4.92,4.66,4.87,4.89,4.68,4.58,Exempt: This listing is a unit used for furnished institutional or business stays,t,$35.00,Fast,1.0,1.0,False,True,True
within an hour,100%,95%,t,West Roxbury,t,42.27125,-71.14898,Other,Private room,1,1.0,1.0,1.0,1,31,18,1,4.76,4.89,4.84,4.95,4.95,4.75,4.83,STR-443076,f,$64.00,Fast,1.0,0.95,True,True,False
within an hour,100%,95%,t,West Roxbury,t,42.27184,-71.1511,Other,Private room,1,1.0,4.0,4.0,1,31,5,0,4.76,4.86,4.8,4.92,4.91,4.7,4.8,STR-443076,f,$64.00,Fast,1.0,0.95,True,True,False
within an hour,100%,95%,t,West Roxbury,t,42.27302,-71.14923,Other,Private room,1,1.0,1.0,1.0,1,31,18,1,4.7,4.8,4.74,4.85,4.79,4.6,4.63,STR-443076,f,$64.00,Fast,1.0,0.95,True,True,False
within an hour,100%,95%,t,West Roxbury,t,42.27163,-71.14922,Other,Private room,1,1.0,1.0,1.0,1,31,18,0,4.61,4.83,4.7,4.88,4.88,4.56,4.63,STR-443076,f,$64.00,Fast,1.0,0.95,True,True,False
within an hour,100%,100%,t,Jamaica Plain,t,42.31883,-71.10693,Other,Entire home/apt,2,1.0,1.0,1.0,2,30,39,5,4.91,4.88,4.84,4.99,4.99,4.92,4.83,STR-547448,f,$150.00,Fast,1.0,1.0,True,True,False
within an hour,100%,100%,t,East Boston,t,42.37676,-71.03889,Other,Private room,1,1.0,1.0,1.0,29,365,30,0,4.85,4.94,4.89,4.96,4.9,4.81,4.81,STR-414768,t,$59.00,Fast,1.0,1.0,True,True,True
within an hour,100%,100%,t,Jamaica Plain,t,42.31203,-71.10278,Apartment,Entire home/apt,6,1.0,2.0,2.0,90,1125,17,5,4.87,4.99,4.94,4.93,4.88,4.95,4.82,STR-445634,f,$263.00,Fast,1.0,1.0,True,True,False
within an hour,100%,100%,t,Jamaica Plain,t,42.31203,-71.10278,Other,Entire home/apt,3,1.0,1.0,1.0,1,1125,27,3,4.96,4.94,4.99,4.96,4.99,4.94,4.76,STR-443588,f,$171.00,Fast,1.0,1.0,True,True,False
within an hour,100%,100%,f,Jamaica Plain,t,42.31075,-71.11519,House,Entire home/apt,8,2.0,4.0,4.0,2,180,3,3,4.93,4.91,4.98,5.0,4.89,4.96,4.78,STR-515348,t,$750.00,Fast,1.0,1.0,False,True,True
within a day,67%,17%,f,Allston-Brighton,t,42.3499,-71.17241,Other,Private room,1,1.0,1.0,1.0,29,150,1,0,5.0,5.0,4.43,4.93,5.0,5.0,4.93,STR-414615,f,$40.00,Moderate,0.67,0.17,False,True,False
within an hour,100%,100%,t,South Boston,t,42.33451,-71.02733,Other,Entire home/apt,2,1.0,0.0,2.0,2,10,61,6,4.96,4.97,4.98,4.97,4.96,4.88,4.89,STR-398624,f,$158.00,Fast,1.0,1.0,True,True,False
within an hour,100%,100%,f,Dorchester,t,42.35385,-71.06031,Other,Private room,2,1.0,1.0,1.0,91,1125,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Allston-Brighton,f,42.35803,-71.15106,Other,Private room,2,1.0,1.0,1.0,91,1125,0,0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,,f,$35.00,Fast,1.0,1.0,False,False,False
within an hour,100%,99%,f,Jamaica Plain,f,42.31455,-71.09906,Other,Private room,2,2.0,1.0,1.0,1,14,29,2,4.67,4.77,4.57,4.8,4.87,4.74,4.71,STR-545181,f,$120.00,Fast,1.0,0.99,False,False,False
a few days or more,33%,33%,f,Dorchester,t,42.32105,-71.11201,Other,Private room,1,1.0,0.0,1.0,91,1125,0,0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,f,$90.00,Slow,0.33,0.33,False,True,False
within an hour,100%,100%,f,Back Bay,t,42.34508,-71.07953,Apartment,Entire home/apt,5,1.0,2.0,1.0,91,730,0,0,4.35,4.88,4.76,4.71,4.71,5.0,4.65,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,90%,100%,t,Back Bay,t,42.35152,-71.08606,Apartment,Entire home/apt,4,1.0,0.0,2.0,1,1125,94,6,4.96,4.98,4.96,4.96,4.98,4.99,4.87,STR-408931,f,$252.00,Fast,0.9,1.0,True,True,False
within an hour,100%,94%,t,Downtown Crossing,t,42.3544,-71.06039,Other,Entire home/apt,4,1.0,1.0,2.0,2,30,54,5,4.97,4.98,4.98,4.97,4.98,4.92,4.82,STR-443083,f,$262.00,Fast,1.0,0.94,True,True,False
within an hour,100%,100%,f,Back Bay,t,42.36629,-71.03919,Apartment,Entire home/apt,2,1.0,1.0,1.0,91,730,0,0,4.52,4.61,4.61,4.3,4.48,4.61,4.35,,f,$35.00,Fast,1.0,1.0,False,True,False
within a few hours,53%,76%,f,Dorchester,t,42.34867,-71.06685,Apartment,Entire home/apt,4,1.5,2.0,2.0,1,1125,55,3,4.8,4.9,4.74,4.94,4.84,4.97,4.73,STR443370,f,$224.00,Fast,0.53,0.76,False,True,False
within an hour,100%,100%,f,Dorchester,t,42.32243,-71.08024,Other,Private room,1,1.0,1.0,1.0,91,1125,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Dorchester,t,42.28795,-71.05406,Other,Private room,2,1.0,1.0,1.0,29,1125,3,0,4.68,4.86,4.68,4.91,4.91,4.81,4.74,STR-439516,t,$46.00,Fast,1.0,1.0,False,True,True
within an hour,100%,100%,t,Back Bay,t,42.35006,-71.07858,Other,Hotel room,2,1.0,1.0,1.0,1,1125,0,0,4.76,4.79,4.81,4.88,4.85,4.9,4.75,Exempt: This listing is a hotel or motel,t,$320.00,Fast,1.0,1.0,True,True,True
within an hour,100%,93%,t,Dorchester,t,42.3225,-71.05734,Other,Private room,1,1.0,1.0,1.0,1,28,48,1,4.85,4.89,4.77,4.92,4.97,4.69,4.7,Exempt: This listing is a unit that has contracts with hospitals,f,$75.00,Fast,1.0,0.93,True,True,False
within an hour,86%,98%,f,Back Bay,t,42.3452,-71.07911,Other,Private room,2,1.0,1.0,1.0,1,1125,6,0,4.16,4.11,4.29,4.6,4.49,4.87,4.17,Exempt: This listing is a hotel or motel,t,$400.00,Fast,0.86,0.98,False,True,True
within an hour,100%,100%,t,Back Bay,t,42.35006,-71.07858,Other,Hotel room,2,1.0,1.0,1.0,1,28,0,0,4.77,4.83,4.87,4.96,4.87,4.97,4.61,Exempt: This listing is a hotel or motel,t,$320.00,Fast,1.0,1.0,True,True,True
within an hour,100%,100%,t,Back Bay,t,42.35006,-71.07858,Other,Hotel room,2,1.0,1.0,1.0,1,28,1,0,4.85,4.88,4.93,5.0,4.95,5.0,4.73,Exempt: This listing is a hotel or motel,t,$338.00,Fast,1.0,1.0,True,True,True
within an hour,100%,100%,t,Back Bay,t,42.35006,-71.07858,Other,Hotel room,3,1.0,1.0,2.0,1,28,0,0,4.6,4.7,4.8,4.8,4.8,5.0,4.8,Exempt: This listing is a hotel or motel,t,$303.00,Fast,1.0,1.0,True,True,True
within an hour,86%,98%,f,Back Bay,t,42.34458,-71.08019,Other,Private room,2,1.0,1.0,1.0,1,1125,0,0,4.5,4.5,4.75,4.67,4.83,4.92,4.33,Exempt: This listing is a hotel or motel,t,$434.00,Fast,0.86,0.98,False,True,True
within an hour,100%,98%,f,Theater District,f,42.35134434,-71.06269774,Other,Entire home/apt,4,1.0,1.0,1.0,1,300,27,7,4.43,4.37,4.41,4.54,4.58,4.8,4.39,Exempt: This listing is a unit used for furnished institutional or business stays,f,$231.00,Fast,1.0,0.98,False,False,False
within a few hours,100%,100%,f,West Roxbury,t,42.29379,-71.15963,Other,Entire home/apt,4,1.0,2.0,2.0,1,60,11,3,4.88,4.96,4.96,4.98,4.92,4.84,4.82,STR-548105,f,$190.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Roxbury,t,42.3168,-71.07524,Other,Private room,2,1.5,3.0,3.0,29,1125,7,1,4.35,4.5,4.12,4.88,4.77,4.31,4.23,str-414293,f,$58.00,Fast,1.0,1.0,False,True,False
within an hour,100%,98%,f,Dorchester,t,42.30724,-71.06438,Other,Private room,1,2.0,1.0,1.0,29,150,4,1,4.83,4.92,4.83,5.0,5.0,4.5,4.83,,f,$50.00,Fast,1.0,0.98,False,True,False
within a day,50%,100%,f,Jamaica Plain,t,42.29606,-71.11295,Other,Private room,2,1.0,1.0,2.0,91,1125,0,0,4.85,4.96,4.4,4.94,5.0,4.9,4.83,,t,$55.00,Moderate,0.5,1.0,False,True,True
within a day,50%,100%,f,Jamaica Plain,t,42.2979,-71.1115,Other,Private room,2,1.0,1.0,2.0,91,1125,0,0,4.88,4.9,4.49,4.96,4.96,4.86,4.88,,t,$50.00,Moderate,0.5,1.0,False,True,True
within an hour,100%,100%,t,Mattapan,f,42.27435,-71.09402,Other,Private room,2,1.0,1.0,1.0,29,1125,25,0,4.85,4.89,4.9,4.9,4.91,4.58,4.83,STR-399036,t,$75.00,Fast,1.0,1.0,True,False,True
within an hour,100%,100%,t,Dorchester,t,42.31436,-71.05746,House,Entire home/apt,16,4.5,6.0,12.0,1,1125,8,2,4.92,4.92,4.86,4.92,5.0,4.84,4.8,STR-423861,t,$450.00,Fast,1.0,1.0,True,True,True
within an hour,100%,100%,f,Allston-Brighton,t,42.36195,-71.13171,Other,Private room,1,1.0,1.0,1.0,91,1125,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,95%,t,South Boston,t,42.33354,-71.03916,Other,Entire home/apt,8,1.0,3.0,3.0,1,1125,37,4,4.84,4.81,4.9,4.91,4.87,4.87,4.7,STR-400248,f,$275.00,Fast,1.0,0.95,True,True,False
within an hour,100%,82%,t,Roxbury,t,42.32663,-71.0935,Other,Private room,1,2.0,1.0,1.0,45,180,4,0,5.0,5.0,4.77,4.92,5.0,4.62,4.69,STR-383293,f,$52.00,Fast,1.0,0.82,True,True,False
within an hour,100%,100%,f,Allston-Brighton,t,42.36083,-71.13546,Other,Private room,2,1.0,1.0,1.0,91,1125,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Fenway/Kenmore,f,42.34129,-71.08766,Other,Entire home/apt,2,1.0,0.0,1.0,2,730,13,3,4.81,4.75,4.84,4.83,4.93,4.88,4.63,STR-409557,f,$150.00,Fast,1.0,1.0,False,False,False
within a few hours,100%,80%,f,Dorchester,t,42.29312,-71.11438,Other,Entire home/apt,4,1.0,2.0,3.0,29,360,1,0,4.98,4.97,4.95,4.97,4.98,4.93,4.89,Exempt: This listing is a unit that has contracts with hospitals,f,$270.00,Fast,1.0,0.8,False,True,False
within an hour,100%,100%,f,South End,t,42.34567,-71.07291,Apartment,Entire home/apt,8,1.0,2.0,1.0,91,1125,0,0,4.61,4.71,4.71,4.68,4.66,4.79,4.47,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,87%,t,Dorchester,t,42.27654,-71.0775,Other,Private room,2,1.0,1.0,1.0,2,1125,0,0,4.33,4.33,4.5,5.0,4.33,4.83,4.33,STR-415974,f,$70.00,Fast,1.0,0.87,True,True,False
within an hour,100%,100%,f,Dorchester,t,42.34383,-71.15546,Other,Private room,2,1.0,2.0,1.0,91,1125,0,0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,,f,$35.00,Fast,1.0,1.0,False,True,False
within a few hours,100%,42%,t,Dorchester,t,42.29204115,-71.06699076,Other,Private room,1,1.0,1.0,1.0,31,1125,1,0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,,f,$50.00,Fast,1.0,0.42,True,True,False
within an hour,100%,50%,f,Dorchester,t,42.28922,-71.06741,Other,Entire home/apt,4,1.0,2.0,2.0,91,91,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,,t,$195.00,Fast,1.0,0.5,False,True,True
within an hour,100%,100%,t,Dorchester,f,42.28974,-71.0771,Other,Entire home/apt,4,1.0,3.0,1.0,3,365,5,3,4.83,4.96,4.87,5.0,4.91,4.26,4.74,STR-420519,f,$35.00,Fast,1.0,1.0,True,False,False
within an hour,100%,100%,t,Back Bay,t,42.34998,-71.07855,Other,Hotel room,2,1.0,1.0,1.0,1,28,1,0,4.78,4.83,4.91,4.97,4.92,4.99,4.68,Exempt: This listing is a hotel or motel,t,$320.00,Fast,1.0,1.0,True,True,True
within an hour,100%,100%,f,Hyde Park,t,42.26411,-71.12521,Other,Entire home/apt,2,1.0,1.0,1.0,29,60,0,0,4.75,4.87,4.87,4.93,4.97,4.73,4.8,STR-408276,t,$35.00,Fast,1.0,1.0,False,True,True
within a few hours,100%,0%,f,Jamaica Plain,t,42.2961,-71.11484,Other,Private room,2,1.0,2.0,2.0,29,1125,0,0,4.95,5.0,4.95,5.0,5.0,4.9,4.95,STR-397991,f,$39.00,Fast,1.0,0.0,False,True,False
within a few hours,100%,86%,t,Allston-Brighton,t,42.36935,-71.03215,Other,Entire home/apt,2,1.0,1.0,1.0,29,1125,7,1,5.0,5.0,4.91,5.0,4.95,4.82,4.82,,f,$121.00,Fast,1.0,0.86,True,True,False
within an hour,100%,100%,t,Dorchester,t,42.31586,-71.06827,Other,Private room,2,1.5,1.0,1.0,1,1125,41,6,4.97,4.96,4.94,4.98,4.99,4.7,4.92,STR-445535,f,$140.00,Fast,1.0,1.0,True,True,False
within an hour,100%,98%,f,Dorchester,t,42.30956,-71.06524,Other,Private room,1,2.0,1.0,1.0,29,180,2,0,4.38,4.58,4.46,4.5,4.58,4.23,4.35,,f,$65.00,Fast,1.0,0.98,False,True,False
within an hour,100%,96%,f,East Boston,t,42.30082,-71.08595,Apartment,Entire home/apt,4,1.0,1.0,1.0,29,1125,1,0,4.43,4.43,4.54,4.96,4.82,4.36,4.39,STR-419049,f,$35.00,Fast,1.0,0.96,False,True,False
within an hour,100%,100%,f,Jamaica Plain,t,42.29885,-71.10926,House,Entire home/apt,2,1.0,1.0,1.0,29,1125,0,0,5.0,5.0,5.0,5.0,5.0,4.67,4.67,STR-389183,t,$35.00,Fast,1.0,1.0,False,True,True
within a day,72%,93%,f,Dorchester,t,42.33931,-71.15122,Other,Entire home/apt,3,1.0,1.0,1.0,30,1125,2,0,4.42,4.58,4.58,4.83,4.92,4.92,4.25,,t,$108.00,Moderate,0.72,0.93,False,True,True
within an hour,99%,98%,f,Downtown,t,42.35626,-71.06166,Other,Entire home/apt,2,1.0,1.0,0.0,1,45,17,3,4.38,4.53,4.45,4.84,4.84,4.88,4.36,str-557147,t,$149.00,Fast,0.99,0.98,False,True,True
within an hour,99%,98%,f,Downtown,t,42.35405,-71.06159,Other,Entire home/apt,2,1.0,1.0,0.0,29,120,6,0,4.35,4.47,4.65,4.79,4.87,4.72,4.18,STR439290,t,$139.00,Fast,0.99,0.98,False,True,True
within an hour,99%,98%,f,Downtown,t,42.35406,-71.06175,Other,Private room,2,1.0,1.0,0.0,29,500,13,0,4.48,4.64,4.44,4.8,4.83,4.94,4.43,STR439290,t,$96.00,Fast,0.99,0.98,False,True,True
within an hour,99%,98%,f,Downtown,t,42.35428,-71.06163,Other,Private room,2,1.0,1.0,2.0,29,500,0,0,4.53,4.59,4.66,4.69,4.75,5.0,4.47,STR-390690,f,$125.00,Fast,0.99,0.98,False,True,False
within an hour,99%,98%,f,Downtown,t,42.35577,-71.06134,Other,Entire home/apt,2,1.0,1.0,2.0,29,500,11,0,4.3,4.49,4.22,4.88,4.83,4.86,4.31,Exempt: This listing is a unit used for furnished institutional or business stays,t,$139.00,Fast,0.99,0.98,False,True,True
within an hour,100%,100%,t,Hyde Park,t,42.27082,-71.10787,Other,Entire home/apt,4,1.0,2.0,2.0,29,1125,0,0,4.93,4.93,4.97,4.95,4.97,4.81,4.89,STR-400159,f,$223.00,Fast,1.0,1.0,True,True,False
within a few hours,100%,94%,t,Roxbury,t,42.32865756,-71.09550791,Other,Entire home/apt,2,1.0,1.0,1.0,2,365,6,0,4.83,5.0,4.83,5.0,5.0,4.67,4.67,Str-550179,f,$153.00,Fast,1.0,0.94,True,True,False
within an hour,100%,100%,f,Allston-Brighton,t,42.3509,-71.12685,Other,Private room,1,1.0,1.0,1.0,91,1125,0,0,4.78,4.81,4.31,4.84,4.97,4.94,4.69,,t,$35.00,Fast,1.0,1.0,False,True,True
within an hour,100%,97%,t,Dorchester,t,42.30461,-71.06636,Other,Private room,1,1.0,1.0,1.0,1,1125,51,3,4.86,4.91,4.82,4.88,4.94,4.59,4.76,STR-402900,f,$80.00,Fast,1.0,0.97,True,True,False
within an hour,100%,99%,t,Spring Hill,t,42.3607,-71.06916,Apartment,Entire home/apt,6,1.0,3.0,3.0,1,1125,42,3,4.37,4.48,4.18,4.51,4.82,4.83,4.28,STR-458282,f,$318.00,Fast,1.0,0.99,True,True,False
within an hour,100%,100%,t,Charlestown,t,42.37213,-71.06123,Other,Private room,4,1.5,1.0,1.0,1,1125,20,1,4.86,4.9,4.86,4.9,4.88,4.93,4.66,STR-545898,t,$336.00,Fast,1.0,1.0,True,True,True
within an hour,99%,98%,f,Downtown,t,42.35419,-71.06124,Other,Private room,2,1.0,1.0,0.0,29,400,13,0,4.62,4.81,4.56,4.91,4.91,4.92,4.56,STR439290,t,$103.00,Fast,0.99,0.98,False,True,True
within an hour,99%,98%,f,Downtown,t,42.35388,-71.06337,Other,Private room,2,1.0,0.0,0.0,29,500,8,0,4.29,4.66,4.15,4.77,4.84,4.9,4.42,STR439290,t,$100.00,Fast,0.99,0.98,False,True,True
within an hour,100%,100%,t,Roslindale,t,42.27855,-71.14064,Apartment,Entire home/apt,5,1.0,2.0,3.0,29,365,0,0,4.89,4.89,4.89,4.78,4.89,5.0,4.78,,f,$169.00,Fast,1.0,1.0,True,True,False
within an hour,100%,85%,f,Roxbury,t,42.3207,-71.07824,Other,Entire home/apt,1,1.0,1.0,1.0,29,30,4,0,4.86,4.94,4.94,4.97,4.86,4.69,4.81,STR-445523,f,$35.00,Fast,1.0,0.85,False,True,False
within an hour,100%,100%,t,Jamaica Plain,t,42.31997,-71.10617,Other,Entire home/apt,4,1.0,2.0,2.0,2,30,38,11,4.87,4.92,4.92,4.94,4.89,4.81,4.86,STR-536289,f,$155.00,Fast,1.0,1.0,True,True,False
within an hour,100%,98%,t,Dorchester,t,42.29595,-71.06715,Other,Private room,2,1.5,1.0,1.0,2,4,32,6,4.9,4.95,4.81,4.98,4.98,4.88,4.89,STR-546443,f,$129.00,Fast,1.0,0.98,True,True,False
within an hour,100%,100%,f,Roxbury,t,42.31507,-71.07504,Other,Private room,2,1.5,1.0,1.0,29,1125,3,0,4.8,4.85,4.45,4.9,4.9,4.6,4.5,str-414293,t,$68.00,Fast,1.0,1.0,False,True,True
within an hour,99%,98%,f,Downtown,t,42.35409,-71.06271,Other,Entire home/apt,2,1.0,1.0,0.0,3,180,29,1,4.38,4.41,4.29,4.77,4.76,4.86,4.26,str-557161,t,$134.00,Fast,0.99,0.98,False,True,True
within an hour,100%,100%,f,Fenway/Kenmore,t,42.34449,-71.08385,Other,Entire home/apt,5,1.0,2.0,1.0,91,1125,0,0,4.6,4.5,4.8,4.7,4.6,4.9,4.3,,t,$35.00,Fast,1.0,1.0,False,True,True
within an hour,100%,99%,t,Spring Hill,t,42.28997,-71.11321,Other,Entire home/apt,2,1.0,0.0,2.0,1,90,37,3,4.79,4.84,4.68,4.96,4.95,4.86,4.66,STR-413505,f,$127.00,Fast,1.0,0.99,True,True,False
within a few hours,100%,100%,f,East Boston,t,42.39072,-71.00456,Other,Private room,1,1.0,1.0,1.0,91,91,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,$45.00,Fast,1.0,1.0,False,True,False
within a day,72%,93%,f,Dorchester,t,42.33931,-71.15122,Other,Entire home/apt,6,2.0,3.0,3.0,30,1125,2,0,4.83,4.5,4.67,4.67,4.5,4.83,4.5,,t,$165.00,Moderate,0.72,0.93,False,True,True
within an hour,100%,100%,f,Dorchester,t,42.34408,-71.15394,Other,Private room,1,1.0,2.0,1.0,91,1125,0,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,f,$35.00,Fast,1.0,1.0,False,True,False
within a few hours,90%,92%,f,North End,t,42.36632,-71.05411,Other,Entire home/apt,2,1.0,1.0,1.0,29,365,2,0,4.89,4.94,4.93,4.91,4.94,4.94,4.67,STR-413803,f,$150.00,Fast,0.9,0.92,False,True,False
within an hour,100%,95%,t,Dorchester,t,42.31638007,-71.07288882,Other,Entire home/apt,4,1.0,2.0,3.0,3,1125,7,0,4.77,4.8,4.88,4.88,4.86,4.47,4.66,STR-479670,f,$272.00,Fast,1.0,0.95,True,True,False
within an hour,100%,100%,f,Allston-Brighton,t,42.35941,-71.14224,Other,Entire home/apt,5,1.0,3.0,1.0,3,28,0,0,5.0,5.0,5.0,5.0,5.0,4.73,4.85,STR-397956,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Jamaica Plain,t,42.31998,-71.10952,Other,Private room,1,1.0,4.0,1.0,91,366,0,0,4.88,4.97,4.97,5.0,4.97,4.94,4.88,Exempt: This listing is a unit used for furnished institutional or business stays,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,f,Dorchester,t,42.309845,-71.063538,House,Entire home/apt,16,1.0,13.0,1.0,2,1125,3,0,4.56,4.56,4.78,4.89,4.67,3.78,4.0,STR-413525,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,78%,t,Dorchester,t,42.28983,-71.06703,Other,Private room,1,1.5,1.0,1.0,91,1125,2,0,5.0,4.88,4.63,5.0,5.0,4.75,5.0,,f,$47.00,Fast,1.0,0.78,True,True,False
within an hour,100%,100%,f,Dorchester,t,42.34261,-71.15257,Other,Private room,2,1.0,2.0,1.0,91,150,0,0,5.0,5.0,4.0,5.0,5.0,5.0,4.5,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,t,Allston-Brighton,t,42.36009,-71.1278,Other,Private room,2,1.0,1.0,1.0,29,365,4,1,4.74,4.81,4.74,4.93,4.93,4.63,4.74,str-414502,f,$79.00,Fast,1.0,1.0,True,True,False
within an hour,100%,100%,t,East Boston,f,42.38143,-71.02315,Other,Private room,2,1.0,1.0,1.0,2,14,13,2,4.79,4.64,4.71,5.0,4.93,4.64,4.71,STR-398249,f,$95.00,Fast,1.0,1.0,True,False,False
within a few hours,100%,100%,f,Allston-Brighton,t,42.34293,-71.16773,Other,Private room,1,1.0,1.0,1.0,29,29,1,0,5.0,5.0,5.0,4.95,5.0,4.93,4.98,STR-399235,f,$60.00,Fast,1.0,1.0,False,True,False
within an hour,97%,96%,f,Dorchester,t,42.29111,-71.06451,Other,Private room,1,1.0,1.0,1.0,30,730,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,$37.00,Fast,0.97,0.96,False,True,False
within an hour,94%,93%,t,Dorchester,t,42.31746,-71.05875,Other,Entire home/apt,10,2.0,2.0,6.0,2,28,30,1,4.85,4.83,4.9,4.88,4.88,4.79,4.77,STR-416636,f,$203.00,Fast,0.94,0.93,True,True,False
within a day,50%,25%,f,Allston-Brighton,t,42.35157,-71.14026,Other,Entire home/apt,2,1.5,2.0,4.0,29,90,1,0,4.96,4.99,4.95,4.99,4.97,4.97,4.95,STR-414674,f,$127.00,Moderate,0.5,0.25,False,True,False
within an hour,100%,100%,f,Back Bay,t,42.32351,-71.09593,Other,Private room,1,1.0,1.0,1.0,30,1125,1,0,4.33,4.83,4.67,4.67,4.33,4.5,4.17,,f,$35.00,Fast,1.0,1.0,False,True,False
within an hour,100%,100%,t,East Boston,t,42.37669,-71.03062,Other,Private room,2,1.0,1.0,1.0,29,1125,0,0,4.96,4.94,5.0,4.98,4.95,4.8,4.82,STR-401089,f,$35.00,Fast,1.0,1.0,True,True,False
within an hour,100%,97%,t,Jamaica Plain,t,42.30585,-71.11294,Other,Entire home/apt,4,1.0,1.0,2.0,4,730,24,3,4.99,4.97,4.93,4.97,5.0,4.96,4.92,STR-398787,f,$166.00,Fast,1.0,0.97,True,True,False
within an hour,100%,100%,f,Mission Hill,t,42.33016,-71.11279,Other,Entire home/apt,2,1.0,1.0,1.0,91,1125,0,0,4.84,4.88,4.86,4.94,4.95,4.845,4.72,,t,$35.00,Fast,1.0,1.0,False,True,True
within an hour,100%,100%,f,Roxbury,t,42.33863,-71.07155,Other,Private room,2,1.0,1.0,1.0,91,1125,0,0,4.38,4.75,4.13,4.88,5.0,4.75,4.13,,t,$35.00,Fast,1.0,1.0,False,True,True
within an hour,100%,100%,f,Roxbury,t,42.33669,-71.07009,Other,Private room,2,1.0,1.0,1.0,91,1125,0,0,4.46,5.0,4.46,4.92,4.85,4.46,4.54,,t,$35.00,Fast,1.0,1.0,False,True,True
within an hour,100%,98%,t,Beacon Hill,t,42.35784,-71.0712,Apartment,Entire home/apt,3,1.0,1.0,2.0,4,1125,56,3,4.97,4.97,4.96,4.94,4.96,5.0,4.81,STR-414826,t,$310.00,Fast,1.0,0.98,True,True,True
within an hour,100%,100%,f,Roxbury,t,42.33678,-71.06972,Other,Private room,1,1.0,1.0,1.0,91,1125,0,0,4.0,4.0,3.75,4.0,4.0,4.0,3.5,,t,$35.00,Fast,1.0,1.0,False,True,True
within an hour,94%,93%,t,Dorchester,t,42.31686,-71.05746,Other,Entire home/apt,5,2.0,2.0,3.0,2,90,35,3,4.78,4.83,4.89,4.86,4.89,4.83,4.77,Str-416636,f,$175.00,Fast,0.94,0.93,True,True,False
within an hour,100%,100%,f,Fenway/Kenmore,t,42.34537,-71.10372,Other,Entire home/apt,4,1.0,1.0,1.0,91,120,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,$35.00,Fast,1.0,1.0,False,True,False
within a few hours,100%,85%,f,Beacon Hill,t,42.35987,-71.06598,Other,Entire home/apt,1,1.0,1.0,1.0,29,1125,4,0,4.63,4.74,4.32,4.95,5.0,5.0,4.37,Exempt: This listing is a unit used for furnished institutional or business stays,f,$212.00,Fast,1.0,0.85,False,True,False
within a few hours,100%,100%,t,Allston-Brighton,t,42.36004,-71.12818,Other,Private room,1,1.0,1.0,1.0,91,1125,2,0,4.9,4.8,4.0,4.9,5.0,4.8,4.6,,f,$35.00,Fast,1.0,1.0,True,True,False
within an hour,94%,93%,t,Dorchester,t,42.31538,-71.05874,Other,Entire home/apt,10,3.0,3.0,6.0,2,100,29,3,4.86,4.86,4.91,4.95,4.87,4.82,4.83,STR-416636,f,$249.00,Fast,0.94,0.93,True,True,False
